VARIABLE,PROVIDED BY,ABOUT,SCENARIO,QUESTION,ORIGINAL VALUES,UPDATED VALUES
dyadid,N/A,Dyad,N/A,N/A,N/A,N/A
moca_pt,N/A,Patient,N/A,N/A,N/A,N/A
site,N/A,Dyad,N/A,N/A,UMDL | DUDL,N/A
complete_dyad,N/A,Dyad,N/A,N/A,0. Incomplete. | 1. Complete.,N/A
mci_status_pt,N/A,Patient,N/A,N/A,0. No MCI. | 1. MCI.,N/A
cog_assessment_12mo_pt,N/A,Patient,N/A,N/A,0. No cognitive assessment. | 1. Cognitive assessment.,N/A
englishspeaking_pt,N/A,Patient,N/A,N/A,"0. No, does not read and/or speak English. | 1. Yes, reads and speaks English.",0. No | 1. Yes
ch_antibiotics_pt,Patient,Patient,Current health,"A1. If you developed a serious infection, like pneumonia, would you want to use antibiotics to treat the infection?","1. I definitely want antibiotics. | 2. I probably want antibiotics. | 3. I am unsure. | 4. I probably do not want antibiotics. | 5. I definitely do not want antibiotics.
",1. Definitely want. | 2. Probably want. | 3. Unsure. | 4. Probably do not want. | 5. Definitely do not want.
ch_cpr_pt,Patient,Patient,Current health,"A2. If your heart stopped beating or you stopped breathing, would you want to receive CPR or cardiopulmonary resuscitation? ","1. I definitely want CPR. | 2. I probably want CPR. | 3. I am unsure. | 4. I probably do not want CPR. | 5. I definitely do not want CPR.
",1. Definitely want. | 2. Probably want. | 3. Unsure. | 4. Probably do not want. | 5. Definitely do not want.
ch_gallbladder_pt,Patient,Patient,Current health,"A3. If your gallbladder became inflamed and infected, would you want surgery to remove it?","1. I definitely want surgery. | 2. I probably want surgery. | 3. I am unsure. | 4. I probably do not want surgery. | 5. I definitely do not want surgery.
",1. Definitely want. | 2. Probably want. | 3. Unsure. | 4. Probably do not want. | 5. Definitely do not want.
ch_artificial_fd_pt,Patient,Patient,Current health,"A4. If your condition becomes such that you lose the ability to take in food or water by mouth, would you want artificial feeding and fluids?",1. I definitely want artificial feeding and fluids. | 2. I probably want artificial feeding and fluids. | 3. I am unsure. | 4. I probably do not want artificial feeding and fluids. | 5. I definitely do not want artificial feeding and fluids.,1. Definitely want. | 2. Probably want. | 3. Unsure. | 4. Probably do not want. | 5. Definitely do not want.
emph_antibiotics_pt,Patient,Patient,Emphysema ,"A5. If you developed a serious infection, like pneumonia, would you want to use antibiotics to treat the infection?","1. I definitely want antibiotics. | 2. I probably want antibiotics. | 3. I am unsure. | 4. I probably do not want antibiotics. | 5. I definitely do not want antibiotics.
",1. Definitely want. | 2. Probably want. | 3. Unsure. | 4. Probably do not want. | 5. Definitely do not want.
